predictor,statistic,p_value
Economic Need Index,0.03979163046905827,0.07946719016826584
% Poverty,0.03734847830468472,0.08213033345070632
% English Language Learners,0.045655178370912805,0.01695138244112796
% Students with Disabilities,0.0661944660389893,8.825679230989272e-5
