dbn,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,ontrack_year1_2014,graduation_rate_2014,college_career_rate_2014,ontrack_year1_boro,graduation_rate_boro,college_career_rate_boro,pct_stu_enough_variety_2014,pct_stu_safe_2014,quality_review_year,qr_curriculum,qr_instruction,qr_assessing_student_learning,qr_high_expectations,qr_teacher_collaboration,total_days,days_absent,days_present,percent_attend,20plus_days,chronic_absent,percent_chronic
19K660,78%,65%,30%,75%,50%,26%,82%,68%,50%,76%,81%,2013-2014,P,P,P,P,P,12564.594059405941,3893.0822368421054,12006.628289473685,75.45328947368417,105.63157894736842,63.25986842105263,59.634868421052595
19K683,85%,83%,48%,83%,84%,39%,82%,68%,50%,72%,78%,2011-2012,WD,WD,WD,P,WD,8407.675417661098,1780.576802507837,8572.394984326018,82.24169278996864,67.42006269592477,33.65822784810127,50.610126582278475
20K445,77%,68%,60%,81%,70%,54%,82%,68%,50%,80%,75%,2013-2014,P,D,D,P,P,97635.9522673031,13663.847880299252,88240.5336658354,85.43541147132164,642.4588528678304,206.94763092269326,35.04064837905236
20K490,81%,70%,58%,81%,68%,58%,82%,68%,50%,85%,78%,2013-2014,D,D,D,P,D,122454.39436619719,11526.626262626263,117167.82828282828,90.60025252525256,815.0833333333334,192.32564102564103,24.55692307692309
20K505,70%,60%,49%,70%,58%,49%,82%,68%,50%,81%,82%,2011-2012,P,D,P,P,P,83454.04044943821,14219.60119047619,87481.0625,85.22351190476185,660.9077380952381,240.1619937694704,37.87289719626167
21K337,81%,50%,41%,95%,61%,41%,82%,68%,50%,84%,82%,2013-2014,P,P,P,P,P,10079.227722772277,1415.274193548387,11783.092741935483,88.66572580645158,86.375,26.516260162601625,31.389837398373984
21K344,81%,78%,52%,75%,70%,61%,82%,68%,50%,64%,81%,2013-2014,P,D,P,P,P,16254.939759036144,2602.275956284153,15302.557377049181,85.28032786885248,113.93989071038251,50.04109589041096,44.82410958904109
21K348,79%,74%,57%,74%,83%,40%,82%,68%,50%,70%,72%,2012-2013,D,D,D,P,P,7712.262773722628,2073.629757785467,7781.98615916955,78.06124567474055,63.09342560553633,36.391003460207614,58.441176470588246
21K410,76%,67%,55%,77%,69%,52%,82%,68%,50%,86%,77%,2012-2013,P,D,P,P,WD,58426.2,9186.597435897436,53084.097435897434,85.04846153846147,406.2641025641026,163.7120822622108,40.904113110539846
21K525,80%,78%,76%,81%,81%,67%,82%,68%,50%,85%,80%,2013-2014,P,D,P,P,D,106348.87323943662,9790.015,100833.0075,90.90799999999992,687.245,149.42131979695432,22.187055837563452
