dbn,ontrack_year1_2013,graduation_rate_2013,college_career_rate_2013,ontrack_year1_2014,graduation_rate_2014,college_career_rate_2014,ontrack_year1_boro,graduation_rate_boro,college_career_rate_boro,pct_stu_enough_variety_2014,pct_stu_safe_2014,quality_review_year,qr_curriculum,qr_instruction,qr_assessing_student_learning,qr_high_expectations,qr_teacher_collaboration,total_days,days_absent,days_present,percent_attend,20plus_days,chronic_absent,percent_chronic
02M374,82%,77%,50%,79%,74%,54%,85%,70%,53%,52%,73%,2012-2013,D,D,D,D,D,14652.642335766423,2481.0476190476193,14420.041666666666,84.92619047619048,105.83928571428571,46.157738095238095,44.15089285714283
02M376,98%,94%,86%,97%,96%,78%,85%,70%,53%,89%,96%,2013-2014,WD,P,WD,WD,WD,13071.20588235294,890.1745562130177,12731.076923076924,93.33520710059173,83.60355029585799,14.698224852071005,18.09615384615386
02M400,85%,83%,64%,80%,84%,70%,85%,70%,53%,83%,83%,2013-2014,P,P,P,P,P,34544.448687350836,5000.761154855643,32797.27296587927,85.73202099737536,237.07874015748033,83.08136482939632,36.62283464566928
02M407,100%,94%,58%,100%,90%,84%,85%,70%,53%,84%,95%,2012-2013,WD,WD,WD,WD,WD,9359.753943217665,669.9775510204082,9999.33469387755,93.0326530612245,63.53265306122449,8.548979591836735,15.54408163265306
02M408,93%,96%,66%,89%,94%,66%,85%,70%,53%,58%,89%,2013-2014,P,P,P,P,P,10328.614896988907,760.0803382663847,11386.530655391121,93.72938689217754,73.55179704016913,11.832980972515855,15.863424947145893
02M413,95%,85%,77%,99%,91%,78%,85%,70%,53%,75%,88%,2010-2011,WD,WD,WD,WD,P,14393.171779141105,741.6068965517242,14253.251724137932,94.98827586206886,85.55344827586207,10.041958041958042,12.195979020979035
02M419,80%,50%,41%,80%,66%,35%,85%,70%,53%,74%,84%,2012-2013,P,D,P,P,P,10108.642335766423,2440.231012658228,10089.518987341773,80.37120253164557,79.68354430379746,44.9746835443038,56.16392405063291
02M420,89%,86%,77%,92%,90%,76%,85%,70%,53%,78%,87%,2013-2014,P,P,P,P,WD,49033.26315789474,4556.285326086957,49184.676630434784,90.8206521739131,333.79891304347825,73.97282608695652,24.23097826086958
02M425,75%,68%,43%,82%,64%,41%,85%,70%,53%,71%,81%,2013-2014,P,P,P,WD,P,16751.514285714286,3676.985549132948,15954.277456647398,80.60982658959541,124.63294797687861,65.48554913294798,52.61416184971094
02M449,68%,75%,59%,80%,75%,47%,85%,70%,53%,82%,90%,2011-2012,P,P,P,P,P,12756.057279236276,1923.121301775148,12948.757396449704,87.47130177514792,93.91124260355029,40.387573964497044,41.744970414201184
02M459,81%,56%,55%,95%,71%,52%,85%,70%,53%,90%,96%,2011-2012,P,P,P,P,P,9577.429280397022,1152.359375,9719.25625,89.5256249999999,69.9875,23.170347003154575,32.38675078864353
02M489,83%,75%,77%,88%,82%,70%,85%,70%,53%,77%,88%,2013-2014,WD,P,P,P,P,21398.42891566265,2541.8507042253523,21521.901408450703,89.0994366197184,152.10422535211268,41.10985915492958,27.703380281690126
02M500,80%,68%,40%,78%,68%,28%,85%,70%,53%,90%,95%,2011-2012,D,D,P,P,P,7619.8536585365855,1655.8485915492959,8172.767605633803,82.42605633802818,61.978873239436616,28.02112676056338,46.391901408450714
02M519,97%,96%,81%,94%,95%,76%,85%,70%,53%,62%,91%,2012-2013,WD,P,WD,WD,P,15009.654135338345,1320.8517350157729,15258.13880126183,91.902523659306,101.41324921135647,23.820189274447948,23.933438485804434
02M520,56%,51%,43%,52%,51%,36%,85%,70%,53%,62%,63%,2013-2014,D,D,D,P,D,17100.70588235294,5841.664516129033,16261.377419354838,76.10612903225808,148.59677419354838,94.95065789473684,57.226315789473695
02M529,67%,66%,43%,81%,61%,45%,85%,70%,53%,62%,90%,2013-2014,D,D,D,P,P,17117.44927536232,4186.155425219941,15966.357771260997,79.02991202346047,131.48387096774192,74.67155425219941,56.82727272727272
02M551,90%,71%,71%,82%,76%,51%,85%,70%,53%,60%,84%,2013-2014,P,D,P,P,D,13308.290556900727,1582.3671641791045,13475.662686567164,89.19970149253732,94.26268656716418,28.18918918918919,30.444744744744746
02M580,71%,72%,55%,64%,71%,59%,85%,70%,53%,55%,76%,2010-2011,P,P,D,P,P,14741.417475728156,2333.0543806646524,15149.045317220543,87.1749244712991,111.57099697885197,40.894259818731115,34.64954682779456
02M615,83%,80%,41%,75%,85%,56%,85%,70%,53%,70%,86%,2011-2012,P,P,P,P,P,12395.883495145632,1897.29179331307,12737.474164133739,87.19179331306992,91.85106382978724,37.443768996960486,40.36869300911856
02M630,81%,84%,82%,82%,81%,62%,85%,70%,53%,77%,78%,2010-2011,P,P,P,P,P,40288.301886792455,4495.273504273504,40436.81766381767,90.07350427350427,276.11965811965814,78.9364161849711,28.178612716763013
02M655,82%,64%,40%,74%,76%,43%,85%,70%,53%,79%,69%,2013-2014,P,P,D,P,D,12104.542713567838,2882.096196868009,12631.187919463087,81.83691275167784,99.74049217002238,53.60626398210291,52.001342281879154
03M299,74%,75%,40%,77%,72%,44%,85%,70%,53%,72%,81%,2013-2014,P,P,P,P,D,11606.956097560975,2501.5148809523807,11395.345238095239,81.78273809523813,89.94345238095238,47.107142857142854,52.9747023809524
03M307,77%,61%,40%,75%,67%,41%,85%,70%,53%,67%,87%,2013-2014,P,D,P,P,P,11442.660146699267,2180.216049382716,11661.037037037036,83.65648148148146,88.0925925925926,47.32716049382716,54.940740740740736
03M415,57%,44%,31%,52%,50%,23%,85%,70%,53%,63%,76%,2013-2014,D,D,D,P,P,7408.593591905565,1785.6458333333333,8591.888020833334,84.06302083333334,64.78125,31.937007874015748,45.853280839895
03M492,76%,74%,41%,70%,72%,48%,85%,70%,53%,73%,79%,2011-2012,WD,WD,WD,WD,WD,13968.296296296296,2678.244648318043,14076.642201834862,83.84434250764528,107.19266055045871,48.305810397553515,45.09541284403671
03M494,77%,64%,51%,81%,61%,39%,85%,70%,53%,50%,72%,2013-2014,D,D,D,D,D,15161.167464114833,3665.1209439528025,14514.17994100295,78.77138643067833,119.37463126843657,67.53982300884955,57.736578171091466
03M541,94%,91%,89%,97%,98%,89%,85%,70%,53%,70%,92%,2011-2012,P,P,P,WD,P,13345.809045226131,370.047197640118,13803.941002949852,97.26047197640119,86.6047197640118,4.759643916913946,5.9314540059347145
03M860,89%,65%,59%,89%,73%,42%,85%,70%,53%,72%,68%,2011-2012,WD,P,D,P,P,7391.9412724306685,1834.725,8649.93,82.74599999999998,67.2825,34.8275,49.81249999999998
04M409,65%,41%,22%,66%,27%,30%,85%,70%,53%,80%,86%,2013-2014,P,D,D,P,P,6470.465256797583,1611.831223628692,6742.236286919831,81.79156118143466,55.32067510548523,32.970464135021096,58.125738396624484
04M435,95%,90%,77%,96%,94%,77%,85%,70%,53%,88%,90%,2013-2014,P,WD,WD,WD,P,45620.68257756563,3186.3824289405684,44483.6330749354,92.86020671834622,292.8397932816537,51.19638242894057,18.556847545219625
04M610,95%,100%,91%,93%,100%,97%,85%,70%,53%,62%,92%,2010-2011,WD,P,P,WD,WD,9644.30313014827,700.9478672985782,11903.511848341232,94.38483412322275,74.74644549763033,13.056872037914692,17.973696682464457
04M680,78%,61%,36%,76%,70%,33%,85%,70%,53%,72%,73%,2012-2013,P,D,P,P,P,9075.307317073171,1808.5234657039712,10381.743682310469,85.16895306859207,79.27075812274369,35.22627737226277,43.72299270072995
05M304,76%,69%,45%,82%,66%,47%,85%,70%,53%,66%,81%,2012-2013,D,D,D,P,P,10671.534653465347,2030.9931506849316,11740.184931506848,85.22363013698633,91.67465753424658,38.81849315068493,42.19383561643833
05M367,63%,59%,23%,57%,45%,46%,85%,70%,53%,49%,72%,2013-2014,P,D,P,P,P,4945.411764705882,1865.2901785714287,5096.464285714285,73.95535714285711,46.732142857142854,31.059360730593607,63.9251141552511
05M369,85%,68%,60%,79%,77%,49%,85%,70%,53%,40%,68%,2013-2014,D,D,D,D,P,10278.603015075378,2514.277192982456,10787.529824561403,81.06982456140351,86.29473684210527,51.1719298245614,59.380701754385974
05M499,64%,80%,76%,78%,68%,78%,85%,70%,53%,82%,59%,2013-2014,P,D,P,WD,P,25266.762633996936,3202.545105566219,27252.723608445296,89.87408829174666,191.79462571976967,59.88867562380038,29.75278310940499
05M670,63%,94%,63%,74%,84%,78%,85%,70%,53%,68%,84%,2013-2014,P,D,P,P,P,11159.820598006645,990.3199105145413,12948.304250559284,92.95100671140939,85.21476510067114,14.822471910112359,16.858651685393266
06M346,64%,58%,45%,75%,62%,48%,85%,70%,53%,89%,92%,2013-2014,P,D,P,P,WD,13046.95623987034,2139.7102040816326,13880.379591836734,85.02551020408166,97.39591836734694,36.20654396728016,39.11595092024533
06M348,77%,66%,58%,85%,78%,58%,85%,70%,53%,83%,93%,2011-2012,P,WD,WD,WD,WD,11178.911270983213,1412.1827956989248,12470.686635944701,89.96236559139788,83.92165898617512,27.14592933947773,31.468817204301086
06M463,68%,62%,45%,62%,61%,33%,85%,70%,53%,78%,80%,2013-2014,P,D,P,P,P,12761.225316455697,2324.6245733788396,13971.300341296928,85.61399317406142,110.07508532423208,41.15017064846416,37.333105802047804
06M468,65%,49%,36%,70%,59%,35%,85%,70%,53%,73%,76%,2013-2014,D,D,D,P,D,14358.043373493976,2470.9473684210525,16597.968421052632,87.01859649122807,125.50526315789473,48.223404255319146,37.99787234042555
06M540,73%,73%,65%,71%,76%,49%,85%,70%,53%,93%,84%,2012-2013,D,D,D,P,P,38716.095465393795,5925.895833333333,35832.721354166664,85.86874999999999,266.2057291666667,107.8515625,40.14609374999996
07X221,91%,86%,63%,84%,87%,51%,79%,59%,41%,78%,85%,2012-2013,P,P,P,WD,P,12864.365971107543,1355.6601466992665,15836.728606356968,92.05305623471878,102.50122249388752,25.678132678132677,24.604176904176924
07X334,55%,31%,28%,74%,40%,19%,79%,59%,41%,84%,85%,2013-2014,D,P,P,P,P,12303.862407862407,2198.050980392157,14219.93725490196,86.20627450980398,108.07450980392157,40.36078431372549,37.081568627450956
07X427,78%,69%,53%,70%,63%,46%,79%,59%,41%,77%,77%,2013-2014,WD,P,P,P,P,9555.98969072165,2558.6785714285716,9706.057142857142,79.83178571428577,81.95357142857142,50.47857142857143,60.708571428571446
07X473,79%,51%,42%,74%,57%,27%,79%,59%,41%,79%,92%,2013-2014,D,D,D,P,D,10979.084210526316,2993.6925925925925,11000.962962962964,78.35148148148151,94.64814814814815,57.007462686567166,60.20223880597014
07X500,82%,75%,76%,87%,88%,64%,79%,59%,41%,54%,78%,2013-2014,D,D,D,P,D,10323.1296,1042.210643015521,12104.259423503327,91.6964523281597,78.93569844789357,18.550335570469798,24.626398210290823
07X520,62%,48%,34%,53%,42%,41%,79%,59%,41%,42%,62%,2012-2013,D,D,D,P,D,4448.953367875648,1273.258064516129,4799.6612903225805,80.13629032258066,42.903225806451616,25.911290322580644,58.5725806451613
07X527,91%,62%,55%,94%,65%,55%,79%,59%,41%,92%,92%,2013-2014,D,D,P,P,P,14618.748768472906,2769.150769230769,15056.726153846153,84.45630769230769,114.80307692307693,55.316923076923075,48.079076923076926
07X551,68%,87%,65%,85%,65%,58%,79%,59%,41%,78%,79%,2013-2014,P,D,P,WD,P,12141.809210526315,2141.979079497908,12462.76569037657,84.97531380753139,87.24267782426779,42.30753138075314,48.934937238493724
07X600,75%,51%,23%,77%,64%,19%,79%,59%,41%,80%,71%,2012-2013,D,UD,D,D,D,12616.285714285714,2606.2013651877132,13392.539249146757,83.41058020477811,100.9283276450512,53.09621993127148,53.24089347079038
07X670,68%,69%,54%,50%,56%,47%,79%,59%,41%,64%,66%,2013-2014,P,D,P,P,P,14993.556650246306,3747.7476923076924,14348.384615384615,79.2086153846154,121.92923076923077,69.45538461538462,56.742461538461534
08X282,63%,66%,43%,68%,72%,51%,79%,59%,41%,44%,58%,2013-2014,P,D,D,D,P,9545.448818897637,2619.141342756184,9156.452296819787,77.85512367491167,77.73851590106007,50.54416961130742,64.37985865724382
08X293,80%,80%,41%,80%,73%,54%,79%,59%,41%,80%,71%,2012-2013,P,D,P,WD,P,12969.453658536586,2736.3478260869565,12891.431677018634,82.25341614906833,100.57142857142857,53.78816199376947,54.251713395638625
08X305,82%,61%,27%,85%,70%,30%,79%,59%,41%,75%,79%,2010-2011,D,D,P,P,D,8912.131868131868,1756.4,8728.317391304348,83.3795652173912,70.97826086956522,32.778260869565216,44.603913043478244
08X332,74%,51%,27%,61%,46%,28%,79%,59%,41%,72%,89%,2013-2014,P,P,P,P,P,5751.8899082568805,1323.0452261306532,6650.949748743718,82.21155778894472,53.2964824120603,27.512562814070353,54.60251256281404
08X405,55%,54%,33%,71%,52%,37%,79%,59%,41%,73%,60%,2013-2014,D,D,P,D,D,31506.5584725537,6497.230569948187,27490.784974093265,82.26580310880826,219.49740932642487,109.69451697127937,46.960313315926854
08X452,79%,52%,45%,71%,57%,32%,79%,59%,41%,57%,80%,2012-2013,D,D,UD,D,D,10760.029411764706,2865.0341614906833,10383.664596273293,78.36583850931682,87.1055900621118,54.254658385093165,62.69937888198755
08X519,75%,43%,32%,67%,42%,24%,79%,59%,41%,41%,69%,2013-2014,D,D,D,P,D,7319.041420118343,2117.621276595745,7778.651063829787,78.06297872340429,68.2,39.787234042553195,58.60382978723407
08X530,80%,42%,33%,76%,40%,22%,79%,59%,41%,77%,74%,2013-2014,P,D,P,P,D,8052.220472440945,2405.6347517730496,7756.68085106383,76.59751773049643,68.45744680851064,44.74285714285714,63.760000000000026
09X227,69%,57%,34%,67%,55%,34%,79%,59%,41%,93%,90%,2013-2014,D,D,P,WD,P,11371.150895140665,2302.7815384615383,11177.32,83.14707692307694,87.28307692307692,41.77538461538462,47.65323076923073
09X231,69%,68%,58%,61%,71%,51%,79%,59%,41%,83%,72%,2011-2012,P,P,P,WD,P,12216.192857142858,1619.8858560794044,14053.950372208437,89.77444168734489,97.24565756823822,28.848866498740556,28.845843828715367
09X241,84%,89%,92%,82%,76%,69%,79%,59%,41%,70%,77%,2012-2013,WD,P,WD,WD,WD,12408.776119402984,1674.1342592592594,14036.092592592593,89.00486111111107,94.22453703703704,31.50925925925926,34.22754629629627
09X250,77%,82%,46%,88%,85%,68%,79%,59%,41%,78%,86%,2012-2013,P,P,D,WD,P,12407.70802919708,2079.962068965517,14257.879310344828,87.0075862068965,104.44827586206897,41.436619718309856,39.47253521126756
09X252,83%,85%,65%,72%,69%,69%,79%,59%,41%,75%,81%,2012-2013,P,D,P,P,P,11649.16923076923,2081.6942675159235,11828.605095541401,83.95605095541404,87.93630573248407,39.90127388535032,47.23917197452229
09X263,89%,65%,41%,74%,58%,49%,79%,59%,41%,86%,92%,2013-2014,D,D,D,D,P,11307.30612244898,2664.0066666666667,11492.686666666666,80.934,91.21666666666667,48.9593220338983,54.026101694915255
09X276,51%,56%,28%,60%,41%,25%,79%,59%,41%,69%,82%,2012-2013,P,P,P,P,P,5896.395061728395,1854.4267515923566,5846.700636942675,76.09808917197456,53.49044585987261,32.66451612903226,60.20516129032258
09X297,71%,63%,34%,78%,59%,39%,79%,59%,41%,74%,73%,2010-2011,P,D,P,D,P,12480.274809160306,2821.6204620462045,12575.650165016501,80.8957095709571,100.02640264026402,49.07260726072607,50.39042904290429
09X329,77%,33%,37%,80%,44%,24%,79%,59%,41%,81%,80%,2011-2012,P,D,P,P,P,9007.21850899743,2026.2047781569966,9263.907849829351,82.46279863481229,75.82935153583618,37.6159169550173,48.14671280276815
09X365,98%,86%,42%,99%,91%,60%,79%,59%,41%,85%,96%,2012-2013,WD,P,WD,WD,P,12162.957654723126,1516.3280423280423,12690.111111111111,88.4206349206349,88.71957671957672,31.402116402116402,37.3825396825397
09X404,73%,62%,27%,75%,50%,40%,79%,59%,41%,54%,79%,2011-2012,D,D,P,P,P,10774.466165413534,3850.5065359477126,9631.656862745098,70.51666666666671,88.7483660130719,59.41503267973856,67.45163398692809
09X412,70%,43%,34%,73%,45%,23%,79%,59%,41%,76%,83%,2012-2013,D,D,D,D,D,8615.528255528256,2161.695945945946,9110.827702702703,81.52229729729723,76.89527027027027,38.05821917808219,48.34657534246574
09X413,94%,88%,84%,89%,83%,69%,79%,59%,41%,46%,75%,2010-2011,WD,D,P,WD,P,8369.579617834395,697.5637149028078,9744.36717062635,93.19071274298048,63.131749460043196,12.389130434782608,19.997391304347826
09X505,71%,84%,66%,82%,77%,70%,79%,59%,41%,71%,71%,2012-2013,P,D,P,P,P,14552.734059097978,1496.5930470347648,16664.91615541922,91.60081799590996,110.25562372188139,26.648261758691206,23.653169734151344
09X517,66%,69%,49%,77%,72%,32%,79%,59%,41%,70%,87%,2012-2013,D,D,P,WD,P,11843.55773955774,3452.85,11743.75,77.03533333333334,101.95333333333333,66.80405405405405,64.76925675675675
09X525,74%,57%,48%,57%,61%,37%,79%,59%,41%,66%,67%,2013-2014,P,P,P,P,P,18292.847290640395,4231.0564263322885,18224.636363636364,80.66238244514103,148.63009404388714,79.02857142857142,53.83873015873014
10X141,78%,78%,67%,81%,83%,61%,79%,59%,41%,74%,70%,2010-2011,P,P,P,P,P,26821.978625954198,1945.4940577249577,27234.18166383701,93.03174872665538,174.93039049235992,32.99320882852292,20.22088285229202
10X213,80%,74%,44%,78%,60%,50%,79%,59%,41%,65%,67%,2013-2014,D,D,D,P,P,11627.2628992629,2803.72,11927.44,81.21299999999998,96.90666666666667,51.56521739130435,52.13578595317727
10X225,84%,83%,67%,77%,76%,72%,79%,59%,41%,74%,78%,2012-2013,P,D,P,P,P,11278.384976525822,1705.55081300813,12261.461382113821,88.13780487804877,85.02235772357723,33.58536585365854,37.7723577235772
10X237,84%,67%,66%,79%,68%,53%,79%,59%,41%,59%,77%,2012-2013,P,D,P,P,P,14753.682692307691,3035.227138643068,14506.905604719765,82.31120943952803,115.29498525073747,53.78171091445428,47.14896755162243
10X243,75%,74%,38%,79%,65%,40%,79%,59%,41%,74%,69%,2012-2013,D,D,D,D,D,11492.21350078493,1638.6912751677853,13506.651006711409,88.4158836689039,91.87472035794184,27.926174496644297,30.71431767337804
10X268,78%,48%,47%,83%,57%,40%,79%,59%,41%,90%,87%,2012-2013,D,D,D,P,P,13324.1608040201,2605.438524590164,15741.311475409837,85.22868852459021,119.09426229508196,46.631147540983605,38.531557377049175
10X284,62%,66%,47%,53%,65%,47%,79%,59%,41%,70%,74%,2013-2014,P,D,P,P,P,11567.764127764127,2807.6779141104294,11333.10736196319,80.37607361963188,94.82208588957056,53.82515337423313,56.01503067484663
10X342,86%,65%,38%,86%,61%,37%,79%,59%,41%,91%,89%,2012-2013,D,D,D,D,WD,12860.493041749503,1202.7062146892656,14423.75988700565,92.43192090395479,98.02824858757062,19.497175141242938,18.83926553672317
10X368,69%,69%,68%,74%,90%,58%,79%,59%,41%,73%,77%,2013-2014,P,P,D,P,P,18748.440366972478,1613.934306569343,20259.160583941604,92.59379562043796,132.5310218978102,30.259597806215723,22.67970749542964
10X374,86%,85%,61%,77%,83%,63%,79%,59%,41%,88%,91%,2011-2012,P,P,WD,WD,WD,13321.171428571428,2295.8201219512193,14114.704268292682,85.58262195121951,103.3079268292683,44.9390243902439,43.73597560975611
10X433,73%,68%,30%,90%,72%,39%,79%,59%,41%,68%,69%,2013-2014,D,D,D,P,D,12933.203883495145,2913.756923076923,13019.243076923078,81.50615384615391,103.54153846153847,53.47076923076923,51.70061538461541
10X437,88%,85%,33%,94%,77%,44%,79%,59%,41%,80%,84%,2013-2014,WD,P,P,WD,WD,10891.092269326684,1125.256140350877,12797.456140350878,91.95403508771935,86.24561403508773,20.63157894736842,23.771929824561425
10X438,78%,38%,31%,71%,40%,22%,79%,59%,41%,73%,85%,2012-2013,D,D,P,D,D,11196.6,1739.2239747634069,11995.173501577287,87.65962145110417,88.81072555205047,33.13564668769716,35.251104100946385
10X439,78%,68%,45%,84%,75%,41%,79%,59%,41%,60%,72%,2011-2012,P,D,D,P,P,11479.83495145631,2331.1054313099044,11987.373801916932,83.46805111821081,91.81150159744409,46.501597444089455,50.67444089456868
10X440,53%,55%,34%,69%,45%,39%,79%,59%,41%,82%,58%,2013-2014,D,D,D,D,D,46376.514285714286,8618.633165829146,40236.6432160804,83.03517587939699,323.45226130653265,147.93718592964825,44.924120603015034
10X442,78%,87%,54%,88%,89%,62%,79%,59%,41%,68%,74%,2013-2014,D,P,D,P,D,12274.565853658536,1463.849180327869,14163.465573770492,90.8501639344262,97.17377049180328,30.334426229508196,30.181639344262305
10X546,74%,74%,50%,60%,71%,54%,79%,59%,41%,79%,63%,2013-2014,P,D,D,P,P,11453.593984962406,3067.635738831615,11632.19587628866,79.39862542955332,97.79037800687286,59.70446735395189,61.43539518900348
10X549,76%,57%,37%,77%,63%,29%,79%,59%,41%,50%,74%,2011-2012,P,P,WD,WD,WD,13909.04347826087,2499.4149659863947,15905.462585034014,86.29761904761895,119.5,37.377162629757784,31.003460207612452
11X253,81%,54%,27%,81%,62%,18%,79%,59%,41%,82%,81%,2012-2013,P,P,P,P,P,9964.639618138424,2078.2388535031846,10547.617834394905,83.18821656050955,83.22292993630573,38.37299035369775,46.5421221864952
11X265,81%,66%,39%,74%,69%,41%,79%,59%,41%,63%,72%,2012-2013,P,D,P,P,P,11928,2593.8443113772455,11849.84131736527,81.58353293413172,93.4880239520958,46.59880239520958,50.459580838323355
11X270,80%,74%,34%,71%,68%,43%,79%,59%,41%,44%,57%,2011-2012,D,D,D,D,D,10461.320930232558,2168.4825396825395,11109.019047619047,83.08666666666667,87.44126984126984,43.32051282051282,50.07916666666668
11X288,77%,89%,81%,90%,82%,72%,79%,59%,41%,81%,76%,2010-2011,P,D,D,WD,P,18079.620853080567,2408.3253012048194,18700.689759036144,87.8370481927711,132.8975903614458,43.079268292682926,33.43048780487805
11X299,80%,63%,45%,76%,65%,49%,79%,59%,41%,56%,67%,2013-2014,P,D,D,P,P,13334.66985645933,2293.842105263158,13295.049707602338,85.39678362573099,98.2280701754386,39.74269005847953,40.29649122807015
11X418,66%,58%,35%,63%,57%,34%,79%,59%,41%,62%,74%,2012-2013,D,D,D,D,D,13395.795620437957,2552.230283911672,13865.441640378549,85.0413249211356,105.29968454258675,48.078864353312305,44.7533123028391
11X455,67%,58%,34%,71%,66%,34%,79%,59%,41%,85%,69%,2013-2014,D,D,P,WD,D,56405.25714285715,6621.736147757256,55428.11345646438,89.72532981530345,399.2031662269129,103.5,24.93909574468084
11X514,74%,57%,24%,75%,72%,34%,79%,59%,41%,73%,73%,2013-2014,P,D,P,P,P,11433.384987893462,1368.1529051987768,12456.45871559633,90.00214067278289,92.40366972477064,25.186544342507645,27.470642201834874
11X542,81%,95%,83%,82%,89%,79%,79%,59%,41%,71%,77%,2010-2011,P,D,P,WD,P,14081.855072463768,1522.4229607250754,15022.09667673716,90.6616314199396,104.27492447129909,28.676737160120847,27.69758308157101
11X545,66%,74%,58%,74%,59%,36%,79%,59%,41%,46%,49%,2011-2012,P,D,D,P,D,10118.02375296912,2446.7866242038217,10405.073248407643,81.16050955414018,84.98407643312102,40.74516129032258,47.975483870967714
12X251,78%,55%,41%,83%,65%,35%,79%,59%,41%,78%,90%,2012-2013,P,D,P,P,P,10203.9,2257.0097402597403,10398.461038961039,81.65097402597404,84.51948051948052,46.01623376623377,55.34448051948051
12X271,77%,70%,46%,69%,80%,45%,79%,59%,41%,64%,70%,2013-2014,D,D,D,D,P,12630.03821656051,2463.006036217304,12886.523138832998,83.81931589537227,96.78873239436619,49.52917505030181,50.90804828973843
12X278,59%,43%,23%,54%,33%,17%,79%,59%,41%,58%,74%,2013-2014,D,D,D,D,D,4802.68085106383,1971.4358974358975,4481.529914529914,69.72478632478632,45.282051282051285,33.41880341880342,72.22478632478632
12X388,91%,68%,31%,94%,76%,39%,79%,59%,41%,90%,94%,2013-2014,WD,WD,WD,WD,WD,16988.262295081968,2601.9156626506024,18308.114457831325,87.01927710843374,141.53614457831324,54.933734939759034,41.924698795180724
12X550,70%,47%,29%,87%,63%,25%,79%,59%,41%,84%,80%,2013-2014,D,D,D,P,P,12307.959183673469,2574.284046692607,13009.824902723736,83.3089494163424,103.50972762645914,46.55642023346304,44.424902723735386
13K265,83%,63%,44%,60%,66%,36%,82%,68%,50%,56%,71%,2013-2014,WD,P,P,P,P,7856.773770491804,2028.1281407035176,8709.291457286432,81.8658291457286,66.78140703517587,40.404522613065325,57.63090452261307
13K350,88%,49%,47%,76%,60%,32%,82%,68%,50%,65%,77%,2011-2012,P,P,P,P,P,9090.924281984335,2233.950943396226,9354.909433962264,79.80641509433961,74.75471698113208,41.29811320754717,54.846792452830194
13K412,81%,70%,44%,79%,78%,46%,82%,68%,50%,73%,80%,2011-2012,P,D,P,P,P,11743.701492537313,2453.0588235294117,12606.103806228373,83.54705882352934,96.54671280276817,47.449826989619375,49.529757785467126
13K419,87%,69%,51%,84%,71%,44%,82%,68%,50%,33%,54%,2013-2014,P,D,P,D,P,15271.952153110047,1628.3049853372434,16295.853372434018,90.41964809384163,114.17008797653959,29.35190615835777,26.75395894428151
13K430,99%,98%,83%,97%,98%,91%,82%,68%,50%,87%,88%,2011-2012,WD,WD,D,P,D,164358.53201970443,6066.969945355191,156382.96721311475,95.45737704918027,990.4426229508197,80.57340720221606,10.137396121883656
13K483,87%,89%,82%,95%,88%,82%,82%,68%,50%,84%,79%,2012-2013,WD,P,WD,WD,WD,13165.791044776119,1524.9243421052631,14369.825657894737,90.03980263157895,98.85526315789474,29.792763157894736,31.114144736842107
13K499,72%,71%,43%,64%,67%,62%,82%,68%,50%,43%,76%,2013-2014,P,P,P,P,P,10014.074812967581,3024.701818181818,10502.236363636364,76.0283636363636,90.0690909090909,49.43272727272727,56.57272727272731
13K605,75%,67%,33%,71%,79%,35%,82%,68%,50%,68%,65%,2012-2013,P,P,P,P,P,19406.06698564593,3051.3684210526317,20509.6439628483,86.20712074303403,149.39009287925697,58.89783281733746,41.7594427244582
13K670,91%,95%,76%,88%,95%,79%,82%,68%,50%,78%,83%,2010-2011,P,P,P,P,P,25221.711491442544,3558.0032362459547,27218.24919093851,87.83042071197417,191.0032362459547,75.27450980392157,40.311764705882304
14K071,68%,48%,30%,74%,59%,35%,82%,68%,50%,79%,77%,2012-2013,D,D,D,P,P,12028.908212560387,1798.7548262548262,12390.490347490348,87.5160231660231,87.87644787644787,35.1988416988417,39.39092664092667
14K449,95%,100%,87%,97%,99%,97%,82%,68%,50%,74%,94%,2011-2012,WD,P,WD,WD,WD,20348.354430379746,1367.7391304347825,19680.35652173913,93.03999999999999,127.18260869565218,30.924198250728864,25.639358600583087
14K454,81%,49%,30%,86%,51%,22%,82%,68%,50%,61%,81%,2012-2013,D,D,P,P,P,8237.326530612245,1661.0215384615385,8122.052307692307,82.46830769230768,65.16,33.566153846153846,52.75507692307694
14K474,72%,59%,44%,67%,59%,35%,82%,68%,50%,79%,72%,2013-2014,D,D,P,P,D,25146.976076555024,5811.037267080746,26017.316770186335,81.636645962733,206.33540372670808,99.68012422360249,48.06397515527949
14K477,55%,43%,45%,70%,54%,27%,82%,68%,50%,80%,76%,2012-2013,D,D,D,D,P,13484.18858560794,3813.0771604938273,12599.641975308641,76.72654320987657,110.97222222222223,68.08024691358025,60.704320987654334
14K488,90%,74%,54%,87%,83%,54%,82%,68%,50%,70%,75%,2012-2013,P,D,P,P,WD,14672.823529411764,2548.290429042904,15880.22112211221,85.46369636963698,116.32673267326733,46.745874587458744,41.5023102310231
14K586,74%,60%,35%,76%,46%,32%,82%,68%,50%,71%,74%,2013-2014,P,D,P,P,P,10012.63768115942,2180.727659574468,10324.14255319149,82.3434042553191,78.63191489361702,41.44871794871795,51.949145299145314
