"Report Type","DBN","School Name","Grade","Year","Demographic Category","Demographic Variable","# Total Days","# Days Absent","# Days Present","% Attendance","# Contributing 20+ Total Days","# Chronically Absent","% Chronically Absent","Total Enrollment","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multiple Race Categories Not Represented","% Multiple Race Categories Not Represented","# White","% White","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
"School","01M015","P.S. 015 Roberto Clemente","All Grades","2016-17","All Students","All Students",30601,1994,28607,93.5,193,48,24.9,178,17,28,33,27,31,24,18,0,0,0,0,0,0,0,83,46.6,95,53.4,14,7.9,51,28.7,105,59,4,2.2,4,2.2,51,28.7,12,6.7,152,85.4,89.2
"School","01M019","P.S. 019 Asher Levy","All Grades","2016-17","All Students","All Students",47382,4484,42898,90.5,280,94,33.6,271,24,37,46,47,40,43,34,0,0,0,0,0,0,0,127,46.9,144,53.1,24,8.9,51,18.8,180,66.4,1,0.4,15,5.5,88,32.5,9,3.3,207,76.4,58.2
"School","01M020","P.S. 020 Anna Silver","All Grades","2016-17","All Students","All Students",94536,6998,87538,92.6,569,154,27.1,540,41,83,83,92,95,77,69,0,0,0,0,0,0,0,265,49.1,275,50.9,175,32.4,52,9.6,264,48.9,22,4.1,27,5,116,21.5,93,17.2,315,58.3,68
"School","01M034","P.S. 034 Franklin D. Roosevelt","All Grades","2016-17","All Students","All Students",61477,5601,55876,90.9,369,118,32,350,13,21,24,37,31,29,36,38,59,62,0,0,0,0,170,48.6,180,51.4,19,5.4,102,29.1,216,61.7,2,0.6,11,3.1,130,37.1,27,7.7,348,99.4,86.8
"School","01M063","The STAR Academy - P.S.63","All Grades","2016-17","All Students","All Students",35246,2580,32666,92.7,214,60,28,200,22,38,37,28,28,26,21,0,0,0,0,0,0,0,97,48.5,103,51.5,8,4,37,18.5,129,64.5,5,2.5,21,10.5,66,33,5,2.5,165,82.5,67.9
"School","01M064","P.S. 064 Robert Simon","All Grades","2016-17","All Students","All Students",43121,4046,39075,90.6,253,98,38.7,247,21,46,34,37,33,32,44,0,0,0,0,0,0,0,104,42.1,143,57.9,13,5.3,48,19.4,167,67.6,3,1.2,16,6.5,81,32.8,10,4,239,96.8,83
"School","01M110","P.S. 110 Florence Nightingale","All Grades","2016-17","All Students","All Students",67086,3242,63844,95.2,394,52,13.2,383,32,62,54,50,59,76,50,0,0,0,0,0,0,0,179,46.7,204,53.3,70,18.3,37,9.7,161,42,10,2.6,105,27.4,55,14.4,20,5.2,221,57.7,49.7
"School","01M134","P.S. 134 Henrietta Szold","All Grades","2016-17","All Students","All Students",62476,5493,56983,91.2,382,136,35.6,354,22,29,58,51,61,59,74,0,0,0,0,0,0,0,171,48.3,183,51.7,55,15.5,71,20.1,213,60.2,5,1.4,10,2.8,143,40.4,33,9.3,319,90.1,83.5
"School","01M140","P.S. 140 Nathan Straus","All Grades","2016-17","All Students","All Students",68734,6324,62410,90.8,416,170,40.9,382,18,31,28,25,28,32,34,64,66,56,0,0,0,0,182,47.6,200,52.4,18,4.7,45,11.8,304,79.6,4,1,11,2.9,124,32.5,45,11.8,287,75.1,84.3
"School","01M142","P.S. 142 Amalia Castro","All Grades","2016-17","All Students","All Students",62640,5385,57255,91.4,379,111,29.3,356,34,56,56,47,51,44,68,0,0,0,0,0,0,0,162,45.5,194,54.5,17,4.8,42,11.8,285,80.1,8,2.2,4,1.1,121,34,32,9,349,98,86.6
"School","01M184","P.S. 184m Shuang Wen","All Grades","2016-17","All Students","All Students",117715,2649,115066,97.7,688,29,4.2,672,36,71,59,68,65,56,63,89,86,79,0,0,0,0,330,49.1,342,50.9,468,69.6,30,4.5,81,12.1,36,5.4,57,8.5,125,18.6,109,16.2,461,68.6,54
"School","01M188","P.S. 188 The Island School","All Grades","2016-17","All Students","All Students",81066,7986,73080,90.1,548,215,39.2,445,29,35,41,47,48,49,34,52,52,58,0,0,0,0,195,43.8,250,56.2,10,2.2,141,31.7,278,62.5,1,0.2,15,3.4,138,31,64,14.4,382,85.8,92.9
"School","01M292","Orchard Collegiate Academy","All Grades","2016-17","All Students","All Students",22376,2969,19407,86.7,143,64,44.8,140,0,0,0,0,0,0,0,0,0,0,40,35,31,34,53,37.9,87,62.1,21,15,34,24.3,77,55,1,0.7,7,5,38,27.1,20,14.3,128,91.4,84.4
"School","01M301","Technology, Arts, and Sciences Studio","All Grades","2016-17","All Students","All Students",22644,2385,20259,89.5,136,52,38.2,127,0,0,0,0,0,0,0,27,44,56,0,0,0,0,60,47.2,67,52.8,11,8.7,41,32.3,65,51.2,4,3.1,6,4.7,56,44.1,6,4.7,98,77.2,73.7
"School","01M315","The East Village Community School","All Grades","2016-17","All Students","All Students",55190,2721,52469,95.1,321,36,11.2,315,36,48,49,49,44,47,42,0,0,0,0,0,0,0,155,49.2,160,50.8,32,10.2,17,5.4,61,19.4,21,6.7,184,58.4,59,18.7,4,1.3,71,22.5,27.9
"School","01M332","University Neighborhood Middle School","All Grades","2016-17","All Students","All Students",40416,3480,36936,91.4,237,70,29.5,234,0,0,0,0,0,0,0,67,77,90,0,0,0,0,102,43.6,132,56.4,22,9.4,67,28.6,133,56.8,1,0.4,11,4.7,109,46.6,23,9.8,205,87.6,79.7
"School","01M361","The Children's Workshop School","All Grades","2016-17","All Students","All Students",51552,3548,48004,93.1,303,62,20.5,295,35,59,55,48,35,35,28,0,0,0,0,0,0,0,140,47.5,155,52.5,30,10.2,29,9.8,114,38.6,14,4.7,108,36.6,67,22.7,12,4.1,142,48.1,46.9
"School","01M363","Neighborhood School","All Grades","2016-17","All Students","All Students",53106,3374,49732,93.6,306,54,17.6,304,18,58,51,56,44,43,34,0,0,0,0,0,0,0,148,48.7,156,51.3,15,4.9,33,10.9,105,34.5,9,3,142,46.7,69,22.7,10,3.3,121,39.8,40.5
"School","01M364","Earth School","All Grades","2016-17","All Students","All Students",58133,3420,54713,94.1,337,62,18.4,331,36,48,48,56,48,49,46,0,0,0,0,0,0,0,163,49.2,168,50.8,20,6,43,13,113,34.1,28,8.5,127,38.4,85,25.7,17,5.1,164,49.5,45.2
"School","01M378","School for Global Leaders","All Grades","2016-17","All Students","All Students",50021,4944,45077,90.1,294,98,33.3,283,0,0,0,0,0,0,0,101,97,85,0,0,0,0,126,44.5,157,55.5,41,14.5,77,27.2,156,55.1,4,1.4,5,1.8,103,36.4,29,10.2,195,68.9,75.3
"School","01M448","University Neighborhood High School","All Grades","2016-17","All Students","All Students",63131,4765,58366,92.5,402,99,24.6,392,0,0,0,0,0,0,0,0,0,0,136,111,78,67,176,44.9,216,55.1,119,30.4,94,24,166,42.3,2,0.5,11,2.8,58,14.8,35,8.9,351,89.5,75.4
"School","01M450","East Side Community School","All Grades","2016-17","All Students","All Students",120941,5610,115331,95.4,696,76,10.9,699,0,0,0,0,0,0,0,108,91,107,107,96,101,89,335,47.9,364,52.1,78,11.2,126,18,381,54.5,21,3,93,13.3,200,28.6,4,0.6,475,68,58
"School","01M509","Marta Valle High School","All Grades","2016-17","All Students","All Students",31126,6524,24602,79,206,130,63.1,204,0,0,0,0,0,0,0,0,0,0,51,58,47,48,126,61.8,78,38.2,6,2.9,72,35.3,121,59.3,1,0.5,4,2,60,29.4,18,8.8,186,91.2,76.2
"School","01M539","New Explorations into Science, Technology and Math","All Grades","2016-17","All Students","All Students",297982,12354,285628,95.9,1748,126,7.2,1745,0,100,151,124,118,113,113,154,137,121,161,149,126,178,866,49.6,879,50.4,579,33.2,140,8,193,11.1,113,6.5,720,41.3,107,6.1,7,0.4,441,25.3,23.3
"School","01M696","Bard High School Early College","All Grades","2016-17","All Students","All Students",89186,4899,84287,94.5,548,71,13,548,0,0,0,0,0,0,0,0,0,0,140,154,140,114,338,61.7,210,38.3,141,25.7,88,16.1,97,17.7,9,1.6,213,38.9,16,2.9,0,0,250,45.6,38.2
"School","01M839","Tompkins Square Middle School","All Grades","2016-17","All Students","All Students",65535,2858,62677,95.6,373,37,9.9,374,0,0,0,0,0,0,0,128,124,122,0,0,0,0,200,53.5,174,46.5,99,26.5,60,16,132,35.3,11,2.9,72,19.3,103,27.5,14,3.7,251,67.1,58.4
"School","02M001","P.S. 001 Alfred E. Smith","All Grades","2016-17","All Students","All Students",63045,3764,59281,94,382,81,21.2,356,34,50,48,55,53,53,63,0,0,0,0,0,0,0,178,50,178,50,216,60.7,41,11.5,84,23.6,4,1.1,11,3.1,89,25,83,23.3,204,57.3,65.6
"School","02M002","P.S. 002 Meyer London","All Grades","2016-17","All Students","All Students",106119,2869,103250,97.3,629,56,8.9,603,36,77,76,81,98,129,106,0,0,0,0,0,0,0,283,46.9,320,53.1,487,80.8,34,5.6,75,12.4,0,0,7,1.2,121,20.1,191,31.7,579,96,79.6
"School","02M003","P.S. 003 Charrette School","All Grades","2016-17","All Students","All Students",135538,8297,127241,93.9,785,145,18.5,778,50,132,118,103,117,111,147,0,0,0,0,0,0,0,393,50.5,385,49.5,52,6.7,42,5.4,105,13.5,41,5.3,538,69.2,146,18.8,32,4.1,115,14.8,14
"School","02M006","P.S. 006 Lillie D. Blake","All Grades","2016-17","All Students","All Students",119759,5114,114645,95.7,691,52,7.5,683,40,100,99,104,112,119,109,0,0,0,0,0,0,0,330,48.3,353,51.7,89,13,14,2,50,7.3,18,2.6,512,75,114,16.7,22,3.2,44,6.4,9.7
"School","02M011","P.S. 011 William T. Harris","All Grades","2016-17","All Students","All Students",162251,7442,154809,95.4,943,90,9.5,931,18,146,154,131,156,181,145,0,0,0,0,0,0,0,464,49.8,467,50.2,139,14.9,68,7.3,224,24.1,42,4.5,458,49.2,125,13.4,32,3.4,262,28.1,29.2
"School","02M033","P.S. 033 Chelsea Prep","All Grades","2016-17","All Students","All Students",109733,6195,103538,94.4,651,109,16.7,622,34,87,93,113,102,93,100,0,0,0,0,0,0,0,323,51.9,299,48.1,142,22.8,89,14.3,178,28.6,54,8.7,159,25.6,87,14,20,3.2,286,46,41.9
"School","02M040","P.S. 040 Augustus Saint-Gaudens","All Grades","2016-17","All Students","All Students",115018,4641,110377,96,664,36,5.4,650,35,126,103,94,103,96,93,0,0,0,0,0,0,0,336,51.7,314,48.3,70,10.8,18,2.8,93,14.3,67,10.3,402,61.8,119,18.3,25,3.8,54,8.3,12.5
"School","02M041","P.S. 041 Greenwich Village","All Grades","2016-17","All Students","All Students",122789,4426,118363,96.4,712,27,3.8,699,36,97,124,91,125,114,112,0,0,0,0,0,0,0,379,54.2,320,45.8,57,8.2,13,1.9,62,8.9,84,12,483,69.1,113,16.2,10,1.4,31,4.4,4.3
"School","02M042","P.S. 042 Benjamin Altman","All Grades","2016-17","All Students","All Students",115341,2571,112770,97.8,682,29,4.3,654,38,94,90,94,89,122,127,0,0,0,0,0,0,0,312,47.7,342,52.3,598,91.4,4,0.6,34,5.2,4,0.6,14,2.1,118,18,209,32,371,56.7,69.8
"School","02M047","47 The American Sign Language and English Secondar","All Grades","2016-17","All Students","All Students",28877,4025,24852,86.1,184,81,44,179,0,0,0,0,0,0,0,0,0,0,56,51,37,35,130,72.6,49,27.4,3,1.7,55,30.7,110,61.5,3,1.7,8,4.5,46,25.7,9,5,160,89.4,72.9
"School","02M051","P.S. 051 Elias Howe","All Grades","2016-17","All Students","All Students",69680,5425,64255,92.2,441,125,28.3,389,49,70,53,50,59,51,57,0,0,0,0,0,0,0,208,53.5,181,46.5,81,20.8,47,12.1,177,45.5,6,1.5,78,20.1,86,22.1,38,9.8,182,46.8,48.7
"School","02M059","P.S. 059 Beekman Hill International","All Grades","2016-17","All Students","All Students",101206,4628,96578,95.4,595,54,9.1,576,0,117,97,100,67,99,96,0,0,0,0,0,0,0,282,49,294,51,95,16.5,11,1.9,66,11.5,59,10.2,345,59.9,111,19.3,21,3.6,56,9.7,5
"School","02M077","P.S. 77 Lower Lab School","All Grades","2016-17","All Students","All Students",63081,2191,60890,96.5,359,9,2.5,359,0,50,64,64,63,60,58,0,0,0,0,0,0,0,179,49.9,180,50.1,108,30.1,1,0.3,17,4.7,38,10.6,195,54.3,41,11.4,1,0.3,15,4.2,7.8
"School","02M089","P.S. 89","All Grades","2016-17","All Students","All Students",72934,3027,69907,95.8,427,19,4.4,412,36,75,55,65,76,48,57,0,0,0,0,0,0,0,199,48.3,213,51.7,67,16.3,9,2.2,66,16,19,4.6,251,60.9,72,17.5,16,3.9,12,2.9,5.3
"School","02M104","J.H.S. 104 Simon Baruch","All Grades","2016-17","All Students","All Students",203642,8266,195376,95.9,1190,116,9.7,1145,0,0,0,0,0,0,0,373,369,403,0,0,0,0,514,44.9,631,55.1,412,36,86,7.5,215,18.8,44,3.8,388,33.9,201,17.6,53,4.6,529,46.2,35.9
"School","02M111","P.S. 111 Adolph S. Ochs","All Grades","2016-17","All Students","All Students",62737,5421,57316,91.4,413,141,34.1,334,43,42,57,48,45,47,52,0,0,0,0,0,0,0,158,47.3,176,52.7,57,17.1,47,14.1,157,47,11,3.3,62,18.6,84,25.1,51,15.3,173,51.8,52.7
"School","02M114","East Side Middle School","All Grades","2016-17","All Students","All Students",77936,2048,75888,97.4,446,9,2,443,0,0,0,0,0,0,0,151,147,145,0,0,0,0,231,52.1,212,47.9,62,14,14,3.2,40,9,38,8.6,289,65.2,70,15.8,0,0,31,7,7.9
"School","02M116","P.S. 116 Mary Lindley Murray","All Grades","2016-17","All Students","All Students",102882,5253,97629,94.9,630,83,13.2,585,46,87,72,86,75,99,120,0,0,0,0,0,0,0,285,48.7,300,51.3,122,20.9,63,10.8,123,21,37,6.3,240,41,115,19.7,56,9.6,211,36.1,28.5
"School","02M124","P.S. 124 Yung Wing","All Grades","2016-17","All Students","All Students",138505,2699,135806,98.1,801,17,2.1,785,71,121,114,108,100,137,134,0,0,0,0,0,0,0,382,48.7,403,51.3,741,94.4,2,0.3,16,2,14,1.8,12,1.5,90,11.5,239,30.4,336,42.8,53
"School","02M126","P.S. 126 Jacob August Riis","All Grades","2016-17","All Students","All Students",138451,5095,133356,96.3,814,91,11.2,791,45,58,61,72,70,83,58,118,116,110,0,0,0,0,370,46.8,421,53.2,471,59.5,78,9.9,159,20.1,21,2.7,62,7.8,145,18.3,140,17.7,630,79.6,69.2
"School","02M130","P.S. 130 Hernando De Soto","All Grades","2016-17","All Students","All Students",169354,3243,166111,98.1,972,30,3.1,962,36,112,125,160,177,171,181,0,0,0,0,0,0,0,473,49.2,489,50.8,849,88.3,10,1,46,4.8,25,2.6,32,3.3,147,15.3,141,14.7,444,46.2,56.9
"School","02M131","M.S. 131","All Grades","2016-17","All Students","All Students",80093,1998,78095,97.5,479,36,7.5,457,0,0,0,0,0,0,0,162,125,170,0,0,0,0,193,42.2,264,57.8,382,83.6,26,5.7,43,9.4,3,0.7,3,0.7,110,24.1,156,34.1,428,93.7,77.6
"School","02M135","The Urban Assembly School for Emergency Management","All Grades","2016-17","All Students","All Students",49352,8414,40938,83,317,162,51.1,315,0,0,0,0,0,0,0,0,0,0,93,87,61,74,170,54,145,46,18,5.7,84,26.7,193,61.3,5,1.6,15,4.8,60,19,21,6.7,207,65.7,71.1
"School","02M139","Stephen T. Mather Building Arts & Craftsmanship Hi","All Grades","2016-17","All Students","All Students",60215,8140,52075,86.5,380,172,45.3,378,0,0,0,0,0,0,0,0,0,0,120,100,94,64,116,30.7,262,69.3,10,2.6,99,26.2,235,62.2,6,1.6,28,7.4,103,27.2,26,6.9,313,82.8,69.4
"School","02M150","P.S. 150","All Grades","2016-17","All Students","All Students",32342,1472,30870,95.4,191,21,11,186,18,28,27,28,30,28,27,0,0,0,0,0,0,0,90,48.4,96,51.6,30,16.1,7,3.8,22,11.8,21,11.3,106,57,28,15.1,5,2.7,16,8.6,14.8
"School","02M151","Yorkville Community School","All Grades","2016-17","All Students","All Students",94871,6240,88631,93.4,558,110,19.7,537,19,84,71,73,91,88,111,0,0,0,0,0,0,0,271,50.5,266,49.5,34,6.3,77,14.3,131,24.4,31,5.8,264,49.2,95,17.7,26,4.8,216,40.2,34.3
"School","02M158","P.S. 158 Bayard Taylor","All Grades","2016-17","All Students","All Students",134490,6218,128272,95.4,795,70,8.8,781,71,134,122,134,107,121,92,0,0,0,0,0,0,0,367,47,414,53,99,12.7,18,2.3,60,7.7,40,5.1,564,72.2,117,15,44,5.6,81,10.4,7.2
"School","02M167","J.H.S. 167 Robert F. Wagner","All Grades","2016-17","All Students","All Students",237479,9622,227857,95.9,1376,111,8.1,1357,0,0,0,0,0,0,0,487,434,436,0,0,0,0,645,47.5,712,52.5,316,23.3,110,8.1,235,17.3,58,4.3,638,47,215,15.8,51,3.8,456,33.6,26.7
"School","02M177","Yorkville East Middle School","All Grades","2016-17","All Students","All Students",36803,1746,35057,95.3,215,22,10.2,213,0,0,0,0,0,0,0,79,84,50,0,0,0,0,103,48.4,110,51.6,21,9.9,22,10.3,57,26.8,11,5.2,102,47.9,60,28.2,3,1.4,61,28.6,21.9
"School","02M183","P.S. 183 Robert L. Stevenson","All Grades","2016-17","All Students","All Students",98341,4450,93891,95.5,579,46,7.9,567,21,113,101,93,76,90,73,0,0,0,0,0,0,0,274,48.3,293,51.7,96,16.9,19,3.4,49,8.6,19,3.4,384,67.7,107,18.9,40,7.1,38,6.7,4.9
"School","02M198","P.S. 198 Isador E. Ida Straus","All Grades","2016-17","All Students","All Students",82276,4485,77791,94.5,487,76,15.6,468,55,71,83,67,55,72,65,0,0,0,0,0,0,0,224,47.9,244,52.1,95,20.3,43,9.2,107,22.9,11,2.4,212,45.3,103,22,30,6.4,187,40,27
"School","02M212","P.S. 212 Midtown West","All Grades","2016-17","All Students","All Students",65838,3173,62665,95.2,379,35,9.2,375,36,55,56,56,57,57,58,0,0,0,0,0,0,0,202,53.9,173,46.1,46,12.3,21,5.6,90,24,37,9.9,181,48.3,55,14.7,10,2.7,80,21.3,20
"School","02M217","P.S./I.S. 217 Roosevelt Island","All Grades","2016-17","All Students","All Students",106852,5643,101209,94.7,654,88,13.5,613,28,101,89,102,106,66,58,24,21,18,0,0,0,0,306,49.9,307,50.1,180,29.4,81,13.2,93,15.2,26,4.2,233,38,76,12.4,68,11.1,206,33.6,22.3
"School","02M225","Ella Baker School","All Grades","2016-17","All Students","All Students",53670,3614,50056,93.3,311,69,22.2,311,38,38,36,35,30,38,26,26,22,22,0,0,0,0,157,50.5,154,49.5,18,5.8,52,16.7,117,37.6,22,7.1,102,32.8,70,22.5,9,2.9,113,36.3,32.6
"School","02M234","P.S. 234 Independence School","All Grades","2016-17","All Students","All Students",120108,5227,114881,95.6,694,54,7.8,683,0,119,130,118,111,112,93,0,0,0,0,0,0,0,331,48.5,352,51.5,72,10.5,11,1.6,55,8.1,69,10.1,476,69.7,128,18.7,16,2.3,33,4.8,5.8
"School","02M255","M.S. 255 Salk School of Science","All Grades","2016-17","All Students","All Students",68599,2104,66495,96.9,392,12,3.1,390,0,0,0,0,0,0,0,131,132,127,0,0,0,0,227,58.2,163,41.8,72,18.5,9,2.3,40,10.3,31,7.9,238,61,60,15.4,1,0.3,42,10.8,9.9
"School","02M260","The Clinton School","All Grades","2016-17","All Students","All Students",83266,2514,80752,97,491,17,3.5,489,0,0,0,0,0,0,0,99,97,94,105,94,0,0,333,68.1,156,31.9,63,12.9,25,5.1,55,11.2,32,6.5,314,64.2,81,16.6,3,0.6,52,10.6,17.9
"School","02M267","East Side Elementary School, PS 267","All Grades","2016-17","All Students","All Students",70254,3558,66696,94.9,410,47,11.5,401,20,82,73,56,66,58,46,0,0,0,0,0,0,0,204,50.9,197,49.1,42,10.5,5,1.2,35,8.7,6,1.5,313,78.1,75,18.7,16,4,24,6,3.4
"School","02M276","Battery Park City School","All Grades","2016-17","All Students","All Students",149351,6783,142568,95.5,872,82,9.4,850,0,100,90,89,92,107,100,98,83,91,0,0,0,0,400,47.1,450,52.9,169,19.9,42,4.9,90,10.6,67,7.9,482,56.7,158,18.6,14,1.6,74,8.7,9.4
"School","02M280","Manhattan Early College School for Advertising","All Grades","2016-17","All Students","All Students",43797,3667,40130,91.6,283,75,26.5,279,0,0,0,0,0,0,0,0,0,0,106,85,88,0,148,53,131,47,19,6.8,98,35.1,124,44.4,12,4.3,26,9.3,61,21.9,9,3.2,228,81.7,60.3
"School","02M281","The River School","All Grades","2016-17","All Students","All Students",32251,1830,30421,94.3,193,24,12.4,187,34,56,48,24,25,0,0,0,0,0,0,0,0,0,83,44.4,104,55.6,54,28.9,19,10.2,26,13.9,5,2.7,83,44.4,39,20.9,25,13.4,42,22.5,15.1
"School","02M282","Urban Assembly Maker Academy","All Grades","2016-17","All Students","All Students",46631,5119,41512,89,295,98,33.2,290,0,0,0,0,0,0,0,0,0,0,125,82,83,0,86,29.7,203,70,34,11.7,76,26.2,135,46.6,16,5.5,29,10,39,13.4,10,3.4,223,76.9,61.1
"School","02M288","Food and Finance High School","All Grades","2016-17","All Students","All Students",63758,6635,57123,89.6,410,133,32.4,400,0,0,0,0,0,0,0,0,0,0,125,104,83,88,214,53.5,186,46.5,20,5,155,38.7,208,52,10,2.5,7,1.8,74,18.5,21,5.2,318,79.5,68.2
"School","02M289","I.S. 289","All Grades","2016-17","All Students","All Students",49343,1409,47934,97.1,284,10,3.5,281,0,0,0,0,0,0,0,95,92,94,0,0,0,0,147,52.3,134,47.7,118,42,16,5.7,34,12.1,7,2.5,106,37.7,66,23.5,3,1.1,123,43.8,36.6
"School","02M290","P.S. 290 Manhattan New School","All Grades","2016-17","All Students","All Students",104283,4553,99730,95.6,601,40,6.7,592,0,101,107,102,102,88,92,0,0,0,0,0,0,0,318,53.7,274,46.3,64,10.8,13,2.2,48,8.1,39,6.6,428,72.3,88,14.9,23,3.9,64,10.8,6
"School","02M294","Essex Street Academy","All Grades","2016-17","All Students","All Students",54471,6970,47501,87.2,348,119,34.2,352,0,0,0,0,0,0,0,0,0,0,89,89,94,80,174,49.4,178,50.6,18,5.1,139,39.5,149,42.3,23,6.5,23,6.5,102,29,15,4.3,257,73,64.7
"School","02M296","High School of Hospitality Management","All Grades","2016-17","All Students","All Students",61867,11306,50561,81.7,404,207,51.2,398,0,0,0,0,0,0,0,0,0,0,123,120,83,72,293,73.6,105,26.4,12,3,107,26.9,256,64.3,12,3,11,2.8,85,21.4,34,8.5,366,92,75.8
"School","02M298","Pace High School","All Grades","2016-17","All Students","All Students",81099,10472,70627,87.1,517,200,38.7,508,0,0,0,0,0,0,0,0,0,0,161,152,103,92,301,59.3,207,40.7,43,8.5,162,31.9,267,52.6,23,4.5,13,2.6,98,19.3,12,2.4,379,74.6,66.3
"School","02M300","Urban Assembly School of Design and Construction,","All Grades","2016-17","All Students","All Students",60607,10600,50007,82.5,391,193,49.4,391,0,0,0,0,0,0,0,0,0,0,100,117,83,91,104,26.6,287,73.4,14,3.6,99,25.3,260,66.5,7,1.8,11,2.8,92,23.5,43,11,313,80.1,70.8
"School","02M303","Facing History School, The","All Grades","2016-17","All Students","All Students",67372,12237,55135,81.8,436,231,53,431,0,0,0,0,0,0,0,0,0,0,166,115,85,65,210,48.7,221,51.3,7,1.6,111,25.8,297,68.9,9,2.1,7,1.6,100,23.2,71,16.5,305,70.8,79
"School","02M305","Urban Assembly Academy of Government and Law, The","All Grades","2016-17","All Students","All Students",49563,7831,41732,84.2,325,168,51.7,316,0,0,0,0,0,0,0,0,0,0,101,90,59,66,182,57.6,134,42.4,16,5.1,116,36.7,173,54.7,1,0.3,10,3.2,74,23.4,16,5.1,265,83.9,76.4
"School","02M308","Lower Manhattan Arts Academy","All Grades","2016-17","All Students","All Students",55448,6862,48586,87.6,353,111,31.4,354,0,0,0,0,0,0,0,0,0,0,114,86,80,74,247,69.8,107,30.2,31,8.8,97,27.4,196,55.4,19,5.4,11,3.1,123,34.7,16,4.5,204,57.6,66.6
"School","02M312","New York City Lab Middle School for Collaborative","All Grades","2016-17","All Students","All Students",95180,1880,93300,98,543,9,1.7,541,0,0,0,0,0,0,0,187,180,174,0,0,0,0,212,39.2,329,60.8,281,51.9,10,1.8,31,5.7,38,7,181,33.5,83,15.3,6,1.1,164,30.3,28.9
"School","02M316","Urban Assembly School of Business for Young Women,","All Grades","2016-17","All Students","All Students",43362,7249,36113,83.3,282,144,51.1,275,0,0,0,0,0,0,0,0,0,0,104,67,60,44,275,100,0,0,7,2.5,156,56.7,92,33.5,16,5.8,4,1.5,39,14.2,9,3.3,222,80.7,70.3
"School","02M340","Sixth Avenue Elementary School","All Grades","2016-17","All Students","All Students",36161,2179,33982,94,210,38,18.1,208,63,66,44,35,0,0,0,0,0,0,0,0,0,0,113,54.3,95,45.7,19,9.1,6,2.9,22,10.6,25,12,136,65.4,34,16.3,3,1.4,13,6.3,9.1
"School","02M343","The Peck Slip School","All Grades","2016-17","All Students","All Students",65816,2807,63009,95.7,386,22,5.7,377,36,96,75,71,54,45,0,0,0,0,0,0,0,0,201,53.3,176,46.7,62,16.4,15,4,50,13.3,41,10.9,209,55.4,64,17,8,2.1,27,7.2,6.8
"School","02M347","The 47 American Sign Language & English Lower Scho","All Grades","2016-17","All Students","All Students",33940,2736,31204,91.9,201,59,29.4,195,55,26,21,17,13,17,12,16,11,7,0,0,0,0,97,49.7,98,50.3,5,2.6,42,21.5,89,45.6,15,7.7,44,22.6,107,54.9,9,4.6,125,64.1,61.9
"School","02M374","Gramercy Arts High School","All Grades","2016-17","All Students","All Students",85142,13428,71714,84.2,535,236,44.1,534,0,0,0,0,0,0,0,0,0,0,159,162,98,115,386,72.3,148,27.7,17,3.2,219,41,228,42.7,35,6.6,35,6.6,81,15.2,7,1.3,424,79.4,64.1
"School","02M376","NYC iSchool","All Grades","2016-17","All Students","All Students",72452,5133,67319,92.9,454,89,19.6,449,0,0,0,0,0,0,0,0,0,0,109,121,114,105,247,55,202,45,35,7.8,83,18.5,131,29.2,36,8,164,36.5,61,13.6,2,0.4,170,37.9,38.3
"School","02M392","Manhattan Business Academy","All Grades","2016-17","All Students","All Students",68333,9209,59124,86.5,436,190,43.6,432,0,0,0,0,0,0,0,0,0,0,121,116,103,92,202,46.8,230,53.2,14,3.2,107,24.8,281,65,12,2.8,18,4.2,87,20.1,30,6.9,371,85.9,69.9
"School","02M393","Business Of Sports School","All Grades","2016-17","All Students","All Students",71604,11184,60420,84.4,457,242,53,449,0,0,0,0,0,0,0,0,0,0,143,123,92,91,171,38.1,278,61.9,9,2,142,31.6,282,62.8,6,1.3,10,2.2,112,24.9,38,8.5,296,65.9,72.7
"School","02M397","Spruce Street School","All Grades","2016-17","All Students","All Students",89523,3891,85632,95.7,519,30,5.8,508,36,72,63,63,49,46,61,61,57,0,0,0,0,0,254,50,254,50,79,15.6,17,3.3,64,12.6,68,13.4,280,55.1,78,15.4,14,2.8,63,12.4,9.8
"School","02M399","The High School For Language And Diplomacy","All Grades","2016-17","All Students","All Students",64482,11633,52849,82,414,213,51.4,402,0,0,0,0,0,0,0,0,0,0,80,93,126,103,223,55.5,179,44.5,118,29.4,82,20.4,171,42.5,10,2.5,21,5.2,64,15.9,42,10.4,308,76.6,70.3
"School","02M400","High School for Environmental Studies","All Grades","2016-17","All Students","All Students",195228,28852,166376,85.2,1255,485,38.6,1227,0,0,0,0,0,0,0,0,0,0,299,286,308,334,629,51.3,598,48.7,159,13,203,16.5,772,62.9,15,1.2,78,6.4,217,17.7,95,7.7,975,79.5,68.3
