"Report Type","DBN","School Name","Grade","Year","Demographic Category","Demographic Variable","# Total Days","# Days Absent","# Days Present","% Attendance","# Contributing 20+ Total Days","# Chronically Absent","% Chronically Absent","Total Enrollment","Grade PK (Half Day & Full Day)","Grade K","Grade 1","Grade 2","Grade 3","Grade 4","Grade 5","Grade 6","Grade 7","Grade 8","Grade 9","Grade 10","Grade 11","Grade 12","# Female","% Female","# Male","% Male","# Asian","% Asian","# Black","% Black","# Hispanic","% Hispanic","# Multiple Race Categories Not Represented","% Multiple Race Categories Not Represented","# White","% White","# Students with Disabilities","% Students with Disabilities","# English Language Learners","% English Language Learners","# Poverty","% Poverty","Economic Need Index"
"School","28Q310","Queens Collegiate: A College Board School","All Grades","2016-17","All Students","All Students",110275,9807,100468,91.1,683,199,29.1,668,0,0,0,0,0,0,0,84,76,87,108,123,92,98,331,49.6,337,50.4,200,29.9,317,47.5,92,13.8,45,6.7,14,2.1,102,15.3,52,7.8,575,86.1,54.1
"School","28Q312","Jamaica Children's School","All Grades","2016-17","All Students","All Students",19679,1312,18367,93.3,119,25,21,113,0,44,39,30,0,0,0,0,0,0,0,0,0,0,56,49.6,57,50.4,1,0.9,76,67.3,31,27.4,3,2.7,2,1.8,27,23.9,11,9.7,108,95.6,65.2
"School","28Q325","Hillside Arts & Letters Academy","All Grades","2016-17","All Students","All Students",77808,11554,66254,85.2,501,191,38.1,495,0,0,0,0,0,0,0,0,0,0,119,125,121,130,278,56.2,217,43.8,124,25.1,200,40.4,125,25.3,36,7.3,10,2,73,14.7,61,12.3,367,74.1,55.2
"School","28Q328","High School for Community Leadership","All Grades","2016-17","All Students","All Students",72821,9672,63149,86.7,468,189,40.4,476,0,0,0,0,0,0,0,0,0,0,142,124,114,96,228,47.9,248,52.1,118,24.8,176,37,119,25,37,7.8,26,5.5,76,16,61,12.8,384,80.7,56
"School","28Q332","Redwood Middle School","All Grades","2016-17","All Students","All Students",56677,4057,52620,92.8,334,74,22.2,329,0,0,0,0,0,0,0,119,111,99,0,0,0,0,157,47.7,172,52.3,34,10.3,251,76.3,31,9.4,10,3,3,0.9,83,25.2,9,2.7,237,72,46.7
"School","28Q349","The Queens School for Leadership and Excellence","All Grades","2016-17","All Students","All Students",34295,2430,31865,92.9,201,46,22.9,196,35,78,83,0,0,0,0,0,0,0,0,0,0,0,87,44.4,109,55.6,84,42.9,42,21.4,57,29.1,8,4.1,5,2.6,25,12.8,36,18.4,171,87.2,60.4
"School","28Q350","Jamaica Gateway to the Sciences","All Grades","2016-17","All Students","All Students",85020,10106,74914,88.1,543,199,36.6,523,0,0,0,0,0,0,0,0,0,0,141,132,127,123,277,53,246,47,218,41.7,204,39,56,10.7,31,5.9,14,2.7,67,12.8,49,9.4,399,76.3,50.6
"School","28Q354","The Jermaine L. Green STEM Institute of Queens","All Grades","2016-17","All Students","All Students",113666,7289,106377,93.6,672,142,21.1,642,36,88,99,108,113,107,91,0,0,0,0,0,0,0,298,46.4,344,53.6,17,2.6,566,88.2,40,6.2,11,1.7,8,1.2,126,19.6,26,4,486,75.7,51.8
"School","28Q358","M.S. 358","All Grades","2016-17","All Students","All Students",45862,2648,43214,94.2,263,42,16,262,0,0,0,0,0,0,0,140,122,0,0,0,0,0,129,49.2,133,50.8,58,22.1,81,30.9,104,39.7,12,4.6,7,2.7,51,19.5,40,15.3,222,84.7,66.3
"School","28Q440","Forest Hills High School","All Grades","2016-17","All Students","All Students",625638,61983,563655,90.1,3959,1007,25.4,3903,0,0,0,0,0,0,0,0,0,0,991,1008,1037,867,1999,51.2,1904,48.8,957,24.5,326,8.4,1347,34.5,141,3.6,1132,29,557,14.3,252,6.5,2596,66.5,45
"School","28Q505","Hillcrest High School","All Grades","2016-17","All Students","All Students",545271,71738,473533,86.8,3527,1158,32.8,3422,0,0,0,0,0,0,0,0,0,0,949,947,772,754,1806,52.8,1616,47.2,1071,31.3,979,28.6,1107,32.3,131,3.8,134,3.9,356,10.4,478,14,2712,79.3,55.9
"School","28Q620","Thomas A. Edison Career and Technical Education Hi","All Grades","2016-17","All Students","All Students",336605,23822,312783,92.9,2103,396,18.8,2090,0,0,0,0,0,0,0,0,0,0,515,576,485,514,741,35.5,1349,64.5,953,45.6,440,21.1,494,23.6,103,4.9,100,4.8,254,12.2,40,1.9,1683,80.5,42.2
"School","28Q680","Queens Gateway to Health Sciences Secondary School","All Grades","2016-17","All Students","All Students",117664,4215,113449,96.4,702,50,7.1,704,0,0,0,0,0,0,0,98,90,89,112,104,107,104,386,54.8,318,45.2,348,49.4,221,31.4,65,9.2,43,6.1,27,3.8,75,10.7,5,0.7,428,60.8,39.6
"School","28Q686","Queens Metropolitan High School","All Grades","2016-17","All Students","All Students",172559,14120,158439,91.8,1085,237,21.8,1067,0,0,0,0,0,0,0,0,0,0,293,276,266,232,518,48.5,549,51.5,103,9.7,37,3.5,494,46.3,16,1.5,417,39.1,170,15.9,29,2.7,660,61.9,36.9
"School","28Q687","Queens High School for the Sciences at York Colleg","All Grades","2016-17","All Students","All Students",75150,1999,73151,97.3,463,16,3.5,462,0,0,0,0,0,0,0,0,0,0,119,116,111,116,197,42.6,265,57.4,364,78.8,25,5.4,32,6.9,14,3,27,5.8,1,0.2,0,0,293,63.4,31.9
"School","28Q690","High School for Law Enforcement and Public Safety","All Grades","2016-17","All Students","All Students",85971,9740,76231,88.7,558,185,33.2,560,0,0,0,0,0,0,0,0,0,0,182,160,110,108,262,46.8,298,53.2,58,10.4,359,64.1,116,20.7,20,3.6,7,1.3,97,17.3,20,3.6,404,72.1,56
