model,split,mse,rmse,r2,adj_r2
linear,train,112.5261051359503,10.607832254327475,0.6759308011580984,0.6756449628349743
linear,tune,111.76781125070292,10.572029665617805,0.5066653348118848,0.5053713422474571
linear,test,119.88411839153807,10.949160624976605,0.5065307623939466,0.5052423309641658
